spec_services,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,ALL
Acute renal dialysis unit,32,19,17,7,6,2,1,3,87
Acute spinal cord injury unit,4,2,1,2,0,0,0,0,9
AIDS unit(a),7,1,1,2,0,0,0,0,11
Alcohol and drug unit,58,16,9,3,7,1,1,3,98
Burns unit (level III),3,2,2,2,1,1,0,0,11
Cardiac surgery unit,16,8,5,3,4,2,1,0,39
Clinical genetics unit,18,9,2,2,5,1,1,1,39
Clinical pharmacology and/or toxicology service,19,2,5,2,1,0,1,0,30
Coronary care unit,39,23,19,7,6,3,2,2,101
Diabetes unit,29,21,14,8,6,2,1,3,84
Domiciliary care service,118,92,43,40,39,0,1,1,334
Geriatric assessment unit,82,43,15,9,5,3,2,3,162
Hospice care unit,28,25,13,31,7,2,1,2,109
Infectious diseases unit,25,16,11,5,5,1,2,2,67
Intensive care unit (level III),42,20,9,5,5,2,2,2,87
In-vitro fertilisation unit,3,1,0,1,0,0,0,1,6
Maintenance renal dialysis centre,71,66,39,13,19,2,1,4,215
Major plastic/reconstructive surgery unit,17,13,10,4,4,2,1,2,53
Neonatal intensive care unit (level III),12,6,4,3,3,1,1,1,31
Neurosurgical unit,13,7,6,4,3,1,1,2,37
Nursing home care unit,71,86,20,42,52,10,0,0,281
Obstetric/maternity service,67,49,41,26,24,2,2,5,216
Oncology unit,46,45,22,16,19,3,2,2,155
Psychiatric unit/ward,50,35,23,17,13,5,2,2,147
Refractory epilepsy unit,6,4,3,2,4,1,0,0,20
Rehabilitation unit,67,40,21,17,8,3,1,5,162
Sleep centre,12,12,9,3,2,1,1,2,42
Specialist paediatric service,43,29,19,12,6,3,2,5,119
Transplantation unit-bone marrow,12,6,6,3,0,1,0,0,28
Transplantation unit-heart (including heart/lung),2,2,1,2,0,0,0,0,7
Transplantation unit-liver,2,2,2,1,1,0,0,0,8
Transplantation unit-pancreas,1,3,0,0,0,0,0,0,4
Transplantation unit-renal,8,6,2,3,1,0,0,0,20
